id,name,force,target,synergist,stabilizer,dynamic stabilizer,antagonist stabilizer,instructions
BackGeneral/BWSupineRowHips,Inverted Row (on hips),Pull,"
;Back, General ;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
","
;Erector Spinae;
","
;Biceps Brachii;
;Triceps, Long Head;
","
;Rectus Abdominis;
;Obliques;
","Preparation

Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip.

Execution

Keeping hips on floor and low back straight, pull torso up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Fixed bar should be just high enough to allow arm to fully extend. See Gravity Vectors for greater understanding of how body angle influences resistance. Also known as Body Row on Hips or Supine Row on Hips.

Easier

Resistance can be reduced by positioning torso at angle with hips further back. Also try straight body version on high bar.


High Bar


Harder

Exercise will be more challenging when performing standard Inverted Row where entire body is pulled up, pivoting on back of heels.


Inverted Row




"
TrapeziusUpper/CBBarShrug,Cable Bar Shrug,Pull,"
;Trapezius, Upper;
","
;Trapezius, Middle;
;Levator Scapulae;
","
;Erector Spinae;
",,,"Preparation

Position adjustable pulleys at low position. Stand close to cable bar and grasp with shoulder width or slightly wider overhand grip.

Execution

Elevate shoulders as high as possible. Lower and repeat.
"
WristExtensors/LVReverseWristCurl,Lever Reverse Wrist Curl,Pull,"
;Wrist Extensors;
","
;None ;
","
;No significant stabilizers ;
",,,"Preparation

Grasp handles with overhand grip to each side. Place forearms on arm pads.

Execution

Raise handles until wrist is fully hyperextended. Lower handles until wrists are fully flexed. Repeat.
"
Sternocleidomastoid/WtNeckFlx,Weighted Neck Flexion,Pull,"
;Sternocleidomastoid;
","
;None ;
","
;Rectus Abdominis;
;Obliques;
",,,"Preparation

Place folded towel on weight plate. Lie supine perpendicular on bench with low back and hips extending off and feet on floor. Place weight and towel on forehead. Place plates on forehead with towel placed in between for comfort.

Execution

Move head up by flexing neck until chin touches upper chest. Return by hyperextending neck and repeat.
"
DeltoidLateral/DBLateralRaise,Dumbbell Lateral Raise,Pull,"
;Deltoid, Lateral;
","
;Deltoid, Anterior;
;Supraspinatus;
;Trapezius, Middle;
;Trapezius, Lower;
;Serratus Anterior, Inferior Digitations;
","
;Trapezius, Upper;
;Levator Scapulae;
;Wrist Extensors;
",,,"Preparation

Grasp dumbbells in front of thighs with elbows slightly bent. Bend over slightly with hips and knees bent slightly.

Execution

Raise upper arms to sides until slightly bent elbows are shoulder height while maintaining elbows' height above or equal to wrists. Lower and repeat.

Comments

Keep elbows pointed high while maintaining slight bend through elbows (10° to 30° angle) throughout movement. At top of movement, elbows (not necessarily dumbbells) should be directly lateral to shoulders since elbows are slightly bent forward. Dumbbells are raised by shoulder abduction, not external rotation. If elbows drop lower than wrists, front deltoids become primary mover instead of lateral deltoids. To keep resistance targeted to side delt, torso is bent over slightly. See other view and Lateral Raise Errors.
"
BackGeneral/LVSeatedUnderhandRowS,Lever Underhand Seated Row,Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
",,"
;Biceps Brachii;
;Triceps, Long Head ;
",,"Preparation

Sit on seat and position chest against pad. Grasp lever handles with underhand grip.

Execution

Pull lever handles back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Seat or grip should be adjusted to allow wrists to follow elbows.
"
Infraspinatus/DBUprightExternalRotationSupport,Dumbbell Upright Shoulder External Rotation (with support),Pull,"
;Teres Minor;
","
;Infraspinatus;
;Deltoid, Posterior;
;Supraspinatus;
","
;Serratus Anterior;
;Wrist Extensors;
",,,"Preparation

Stand or sit with side against chest height platform. With dumbbell in hand, position upper arm horizontally on platform, elbow bent so forearm is upright.

Execution

Lower dumbbell forward by rotating shoulder. Return and repeat. Continue with opposite arm.
"
DeltoidPosterior/STRearDeltInvertedRow,Suspended Rear Delt Inverted Row,Pull,"
;Deltoid, Posterior;
","
;Infraspinatus;
;Teres Minor;
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Brachialis;
;Brachioradialis;
","
;Erector Spinae;
;Hamstrings;
;Gluteus Maximus;
;Deltoid, Lateral;
","
;Biceps Brachii;
","
;Rectus Abdominis;
;Obliques;
","Preparation

Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor. Internally rotate shoulders so elbows are positioned directly outwards.

Execution

Pull body up while keeping elbows pointed directly out to each side and body and legs straight. Pull until elbows are directly lateral to each side without allowing upper arms to angle downwards. Return until arms are extended straight and shoulders are stretched forward, maintaining high elbow position. Repeat.

Comments

If elbows fall so upper arms no longer travels perpendicular to trunk, Latissimus Dorsi becomes involved. Elbows should be positioned directly lateral to shoulders at highest position throughout movement. Executing exercise with elbows dropping lower than shoulders is not sufficient position to target rear deltoids. A more upright position (ie: lighter resistance) is required than what is used on Suspended Inverted Row for General Back.

Handles should be just high enough to allow arm to fully extend. See Gravity Vectors for greater understanding of body angle influences resistance. This exercise can be performed on TRXⓇ style suspension trainer or adjustable length gymnastics rings. Also known as Suspended Rear Delt Body Row or Suspended Rear Delt Supine Row. Also see side view.
"
LatissimusDorsi/CBRearPullup,Cable Rear Pull-up,Pull,"
;Latissimus Dorsi;
","
;Brachialis;
;Brachioradialis;
;Biceps Brachii;
;Teres Major;
;Pectoralis Major, Sternal;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Trapezius, Lower;
",,"
;Triceps, Long Head;
",,"Preparation

Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt. Step up and grasp bars with overhand wide grip. Lift legs off of steps or floor.

Execution

Pull body up until bar touches back of neck. Lower body until arms and shoulders are fully extended. Repeat.
"
DeltoidAnterior/CBFrontRaise,Cable One Arm Front Raise,Push,"
;Deltoid, Anterior;
","
;Pectoralis Major, Clavicular;
;Deltoid, Lateral;
;Trapezius, Middle;
;Trapezius, Lower;
;Serratus Anterior, Inferior Digitations;
","
;Trapezius, Upper;
;Levator Scapulae;
;Wrist Extensors;
",,,"Preparation

Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.

Execution

Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.

Comments

Height of movement may depend on range of motion or when stirrup or cable makes contact with underside of forearm. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement.
"
Triceps/WtTriDip,Weighted Triceps Dip,Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mount shoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.

Execution

Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.
"
Sternocleidomastoid/CBNeckFlx,Cable Neck Flexion,Pull,"
;Sternocleidomastoid;
","
;None ;
","
;Rectus Abdominis;
;Obliques;
",,,"Preparation

Sit on bench facing away from middle pulley. Place neck in harness cable attachment. Place arms on lower thighs for support.

Execution

Move head away from pulley by bending neck forward until chin touches upper chest. Return head by hyperextending neck and repeat.
"
DeltoidAnterior/LVReclinedShoulderPressParGrip,Lever Reclined Parallel Grip Shoulder Press,Push,"
;Deltoid, Anterior;
","
;Pectoralis Major, Clavicular;
;Triceps Brachii;
;Deltoid, Lateral;
;Trapezius, Middle;
;Trapezius, Lower;
;Serratus Anterior, Inferior Digitations;
","
;Trapezius, Upper;
;Levator Scapulae;
","
;Triceps, Long Head;
;Biceps Brachii;
",,"Preparation

Lie on back pad facing up. Grasp parallel lever handles on each side.

Execution

Press lever until arms are extended. Lower and repeat.

Comments

Range of motion will be compromised if grip is too wide.
"
BackGeneral/STOneArmRow,Suspended One Arm Row,Pull,"
;Back, General ;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
","
;Erector Spinae;
;Gluteus Maximus;
;Hamstrings;
","
;Biceps Brachii;
;Triceps, Long Head;
","
;Rectus Abdominis;
;Obliques;
","Preparation

Grasp suspension handle and momentarily step back until arm is extended forward and straight. While keeping arm straight and shoulder back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handle with arm straight. Place resting arm straight against side or front of thigh.

Execution

Pull body up so side of chest makes contact with handle while keeping body and legs straight. Return until arm is extended straight and shoulder is stretched forward. Repeat.

Comments

At higher angles, feet can be placed flat on floor. When angled further back, only heels may contact floor with forefeet raising upward. Dismounting can be achieved by walking backward until body is upright. See Gravity Vectors for greater understanding of how body angle influences resistance. This exercise can be performed on TRXⓇ style suspension trainer or adjustable length gymnastics ring. Also known as Suspended One Arm Body Row.
"
Triceps/CBForwardTricepsExt,Cable Forward Triceps Extension,Push,"
;Triceps Brachii;
","
;None ;
","
;Latissimus Dorsi;
;Teres Major;
;Serratus Anterior;
;Deltoid, Posterior;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Obliques;
;Rectus Abdominis;
;Wrist Extensors;


;
",,"
;Erector Spinae;
","Preparation

Grasp stirrup from medium high pulley. Turn body away from pulley apparatus and position stirrup over shoulder with palms down. Step forward with one foot so cable is taut. Position elbow forward about shoulder height.

Execution

Push stirrup forward by extending forearm until elbow is straight. Allow stirrup to return back over shoulder. Repeat and repeat. Continue with opposite arm.
"
WristExtensors/DBReverseWristCurl,Dumbbell Reverse Wrist Curl,Pull,"
;Wrist Extensors;
","
;None ;
","
;No significant stabilizers ;
",,,"Preparation

Sit and grip dumbbell with overhand grip. Rest forearm on thigh with wrist just beyond knee.

Execution

Raise dummbell by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.
"
BackGeneral/CBWideGripStrBackSeatedRow,Cable Wide Grip Straight Back Seated Row,Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
","
;Erector Spinae;
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
","
;Biceps Brachii;
;Triceps, Long Head;
","
;Rectus Abdominis;
;Obliques;
","Preparation

Sit slightly forward on bench or platform in order to grasp cable bar attachment. With wider than shoulder width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.

Execution

Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.

Comments

Also see Cable Wide Grip Seated Row.
"
DeltoidAnterior/LVBBBehindNeckPress,Lever Barbell Behind Neck Press (plate loaded),Push,"
;Deltoid, Anterior;
","
;Deltoid, Lateral;
;Supraspinatus;
;Triceps Brachii;
;Trapezius, Middle;
;Trapezius, Lower;
;Serratus Anterior, Inferior Digitations;
","
;Trapezius, Upper;
;Levator Scapulae;
","
;Triceps, Long Head;
",,"Preparation

Sit on bench with bar positioned behind shoulders, also facing away from fulcrum. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.

Execution

Press bar upward until arms are extended overhead. Lower bar behind neck and repeat.

Comments

Range of motion will be compromised if grip is too wide.
"
Brachialis/BBProneInclineCurl,Barbell Prone Incline Curl,Pull,"
;Brachialis;
","
;Biceps Brachii;
;Brachioradialis;
","
;Wrist Flexors;
;Trapezius, Middle;
;Rhomboids;
",,,"Preparation

Lie prone on incline bench with shoulders near top of incline. Knees can rest on seat or legs can be straddled to sides. From low rack or partner, grasp curl bar with shoulder width underhand grip.

Execution

Raise bar until arms are flexed. Lower barbell until arms are fully extended. Repeat.

Comments

The long head (lateral head) of Biceps Brachii is activated significantly more than short head (medial head) of Biceps Brachii since short head enters into active insufficiency as it continues to contract. Also known as Barbell Spider Curl.
"
DeltoidPosterior/LVRearDeltRowC,Lever Seated Rear Delt Row (plate loaded),Pull,"
;Deltoid, Posterior;
","
;Infraspinatus;
;Teres Minor;
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Brachialis;
;Brachioradialis;
;Latissimus Dorsi;
","
;Deltoid, Lateral;
","
;Biceps Brachii;
",,"Preparation

Place seat at low position. Sit on seat with chest against pad and grasp upper handles.

Execution

Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.

Comments

If upper arm travels closer than perpendicular to trunk, latissimus dorsi becomes involved. Elbows should be kept same height as shoulders. Much lighter resistance is required as Lever Seated Row or even Wide Grip Lever Seated Row. Movement can be performed on more commonly found plate loaded seated rowing machine.
"
BackGeneral/CBOneArmTwistingHighRow,Cable Twisting Seated High Row,unspecified,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
;Obliques;
;Quadratus Lumborum;
;Psoas major;
;Iliocastalis lumborum;
;Iliocastalis thoracis;
","
;Erector Spinae;
","
;Biceps Brachii;
;Triceps, Long Head;
","
;Rectus Abdominis;
","Preparation


 Sit on seat or bench. Bend forward and grasp cable stirrup with one hand. Allow shoulder with stirrup to be pulled forward with twist through waist.


Execution


 Pull cable attachment to side of torso while twisting though waist in opposite direction. Pull shoulder back and push chest forward. Return until arm is extended and shoulder is pulled forward. Repeat. Continue with opposite arm.


Comments

 If two high pulleys are available use opposite pulley as exercised arm. If pulley is far enough away, it is optional to bend lower back forward during stretch and pull it upright during contraction. See Cable One Arm Seated High Row. Hamstrings and Gluteus Maximus become stabilizers if seated on bench with feet propped forward with no upper leg support.

"
Triceps/LVTriDip2,Lever Triceps Dip,Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

If possible, place handles in narrow position. Sit on seat with legs under pads. Grasp handles and position elbows back.

Execution

Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.
"
DeltoidPosterior/CBStandingRearDeltRowRope,Cable Standing Rear Delt Row (with rope),Pull,"
;Deltoid, Posterior;
","
;Infraspinatus;
;Teres Minor;
;Deltoid, Lateral;
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Brachialis;
;Brachioradialis;
","
;Erector Spinae;
","
;Biceps Brachii;
",,"Preparation

Stand facing rope attachment on high pulley cable. Grasp each end of rope just above enlarged ends. Step back with one foot so arms and shoulders are positioned straight forward with cable taut. Point elbows outward.

Execution

Pull rope to upper chest or neck, keeping elbows at shoulder height until elbows travel slightly behind back. Keep upper arms perpendicular to trunk. Return until arms are extended forward. Repeat.

Comments

The relatively powerful Latissimus Dorsi  becomes involved:


if upper arm travels closer than perpendicular to trunk
if torso is positioned forward beyond vertical


Also see movement with stirrup cable attachments .
"
Triceps/WtBenchDip,Weighted Bench Dip,Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench. Straighten arms, slide rear end off of edge of bench and position heels on adjacent bench with legs straight. Have assistant place weight on lap near hips.

Execution

Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.
"
BackGeneral/BBCloseGripBentOverRow,Barbell Close Grip Bent-over Row,Pull,"
;Back, General;
","
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
","
;Erector Spinae;
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
;Quadriceps;
","
;Biceps Brachii;
;Triceps, Long Head;
","
;Rectus Abdominis;
;Obliques;
","Preparation

Bend knees slightly and bend over bar with back straight. Grasp bar with shoulder width overhand grip.

Execution

Pull bar to waist. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Torso may be kept horizontal for strict execution. Knees are bent in effort to keep low back straight (See Hamstring Inflexibility). If low back becomes rounded due to tight hamstrings, either try bending knees more or don't position torso as low. Either fix may compromise involvement of Latissimus Dorsi since it forces more shoulder transverse extension and less shoulder extension range of motion. If low back is rounded due to poor form, deadlift weight to standing position and lower torso into horizontal position with knees bent and back straight. A shoulder width or underhand grip can increase lat involvement by emphasizing shoulder extension over transverse extension.
"
Brachioradialis/DBHammerCurl,Dumbbell Hammer Curl,Pull,"
;Brachioradialis;
","
;Brachialis;
;Biceps Brachii;
","
;Deltoid, Anterior;
;Trapezius, Upper;
;Trapezius, Middle;
;Levator Scapulae;
;Flexor Carpi Radialis;
;Extensor Carpi Radialis;
",,,"Preparation

Position two dumbbells to sides, palms facing in, arms straight.

Execution

With elbows to sides, raise one dumbbell until forearm is vertical and thumb faces shoulder. Lower to original position and repeat with alternative arm.

Comments

The biceps may be exercised alternating (as described), simultaneous, or in simultaneous-alternating fashion. When elbows are fully flexed, they can travel forward slightly allowing forearms to be no more than vertical. This additional movement allows for relative release of tension in muscles between repetitions.
"
Triceps/STSelfAssistedTricepsDip,Suspended Self-assisted Triceps Dip,Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal ;
;Pectoralis Major, Clavicular ;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

Stand between two suspension handles, approximately mid-thigh height. Grasp handles on each side and straighten arms with shoulders above hands. Holding position firmly and place bodyweight on handles. Place toes on floor behind with knees bent and feet back.

Execution

Lower body by bending arms back. If necessary, use minimal assistance of lower body to control descent, allowing knees to bend, keeping toes in contact with floor. When slight stretch is felt in chest or shoulders, push body up back up until arms are straight. Repeat with minimal assistance from legs.
"
BackGeneral/LVSeatedRowNoPad,Lever Seated Row (no chest pad),Pull,"
;Back, General;
","
;Erector Spinae;
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
","
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
","
;Biceps Brachii;
;Triceps, Long Head ;
",,"Preparation

Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.

Execution

Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.

Comments

Exercise is performed on apparatus with no chest pad, in contrast to standard lever seated row machine. This exercise is more similar to Cable Seated Row. Begin with light weight and add additional weight gradually to allow lower back adequate adaptation. Do not pause or bounce at bottom of lift. Do not lower weight beyond mild stretch. Full range of motion through lower back will vary from person to person. For even greater hip and low back articulation, hips may be slid back further with knees straighter. See Cable Seated Row Question and Dangerous Exercise Essay. Also see Lever Straight Back Seated Row (no chest pad).
"
Triceps/LVTricepsExtensionOH,Lever Overhead Triceps Extension,Push,"
;Triceps Brachii;
","
;None ;
","
;Deltoid, Anterior;
;Wrist Flexors;
",,,"Preparation

Sit on seat. Push foot lever down with foot and grasp lever handles from behind. With lever handles behind neck, place both feet on support or floor.

Execution

Push lever handles up over head until arms are fully extended. Return and repeat.
"
BackGeneral/LVSeatedLowRow,Lever Seated Low Row (plate loaded),Pull,"
;Back, General ;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
",,"
;Biceps Brachii;
;Triceps, Long Head ;
",,"Preparation

Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.

Execution

Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Seat or grip should be adjusted to allow wrists to follow elbows. When completing pull, lift chest slightly and pull shoulder blades together while keeping lower chest on pad. Let shoulders roll forward when arms extend. See exercise on alternative machine.
"
Triceps/LVTriDip,Lever Triceps Dip,Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

If possible, place handles in narrow position. Sit on seat with back against pad. Grasp handles and position elbows back.

Execution

Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.
"
Brachialis/CBOneArmStandingPreacherCurl,Cable One Arm Standing Preacher Curl,Pull,"
;Brachialis;
;
","
;Biceps Brachii;
;
;Brachioradialis;
;
","
;Wrist Flexors;
;
",,,"Preparation

Standing behind standing preacher bench and grasp cable stirrup. Place back of arm on pad with palm up.

Execution

Raise stirrup upward toward shoulder of same arm. Lower stirrup until arm is fully extended. Repeat.

Comments

Stirrup can be hung from one side of rack for easier access. Feet can be staggered and bent slightly (if needed) to allow armpit to rest near top of pad. Back of upper arm should remain on pad throughout movement. The long head (lateral head) of Biceps Brachii is activated significantly more than short head (medial head) of Biceps Brachii since short head enters into active insufficiency  as it continues to contract. At bottom position, weight stack in use should not make contact with remaining weight stack.
"
DeltoidLateral/CBBarUprightRow,Cable Bar Upright Row,Pull,"
;Deltoid, Lateral;
","
;Deltoid, Anterior;
;Supraspinatus;
;Brachialis;
;Brachioradialis;
;Biceps Brachii;
;Trapezius, Middle;
;Trapezius, Lower;
;Serratus Anterior, Inferior Digitations;
;Infraspinatus;
;Teres Minor;
","
;Trapezius, Upper;
;Levator Scapulae;
",,,"Preparation

Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to cable bar.

Execution

Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.

Comments

Platform can be placed in front of feet to rest cable bar in between sets. See exercise performed with platform. Also see Upright Row Safety.
"
LatissimusDorsi/CBUnderhandChinup,Cable Chin-up,Pull,"
;Latissimus Dorsi;
","
;Brachialis;
;Brachioradialis;
;Teres Major;
;Deltoid, Posterior;
;Rhomboids;
;Levator Scapulae;
;Trapezius, Lower;
;Trapezius, Middle;
;Pectoralis Major, Sternal;
;Pectoralis Minor;
",,"
;Biceps Brachii;
;Triceps, Long Head;
",,"Preparation

Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt chains. Step up and grasp bars with shoulder width underhand grip. Lift legs off of steps or floor.

Execution

Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.
"
WristFlexors/DBUlnarFlexion,Dumbbell Ulnar Deviation,Pull,"
;Flexor Carpi Ulnaris;
;Extensor Carpi Ulnaris;
","
;None ;
","
;No significant stabilizers ;
",,,"Preparation

Grasp half loaded dumbbell with plate on pinkie side. Position arm down to side.

Execution

Bend wrist so weighted side is pulled upward. Lower until weighted side is pointing downward. Repeat.
"
BackGeneral/CBOneArmRow,Cable One Arm Seated Row,Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
;Erector Spinae;
","
;Obliques;
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
","
;Biceps Brachii;
;Triceps, Long Head;
",,"Preparation

Sit slightly forward on platform or secured bench in order to grasp cable stirrup with one hand. Position hips back with knees slightly bent   . Allow shoulder with stirrup to be pulled forward.

Execution

Pull cable attachment to side of torso, slightly twisting through waist. Pull shoulder back and push chest forward during contraction. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.

Comments

It is optional to bend lower back forward during stretch and pull it upright during contraction. If low back is kept still, Erector Spinae acts as synergist muscle. Also see Cable One Arm Twisting Seated Row.
"
DeltoidAnterior/DBFullCanSeatedFrontRaise,Dumbbell Full Can Seated Front Raise,Push,"
;Deltoid, Anterior;
","
;Pectoralis Major, Clavicular;
;Deltoid, Lateral;
;Trapezius, Middle;
;Trapezius, Lower;
;Serratus Anterior, Inferior Digitations;
","
;Trapezius, Upper;
;Levator Scapulae;
;Wrist Extensors;
",,,"Preparation

Sit on end of bench with dumbbell in each hand and legs together. Position dumbbells with palms facing inward and arms hanging down straight.

Execution

Raise dumbbells forward and upward until upper arms are above horizontal. Lower to original vertical position and repeat.

Comments

Height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule, which may be slightly higher than which is felt in the palms down version. Alternatively, height just above horizontal may be considered adequate. Thumbs up hand position, referred to as 'open can' position, may slightly decrease involvement of Lateral Deltoid while slightly increasing Clavicular Pectoralis involvement depending upon degree of shoulder external rotation. Elbows may be kept straight or slightly bent throughout movement. Also see Dumbbell Alternating Seated Full Can Front Raise. However, thumbs up position with external rotation of the shoulder (AKA: 'Open Can') as compared to palms down position with shoulder internal rotation may increase range of motion of shoulder flexion before subacromial impingement is experienced. This positioning also decreases Lateral Deltoid involvement while increasing Clavicular Pectoralis activation.
"
Triceps/ASTricepsDipSelf,Self-assisted Triceps Dip,Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

Stand on bench or elevation between parallel bars. Mount shoulder width dip bar, arms straight with shoulders above hands. Bend knees and place toes on bench or elevation behind and below body.

Execution

Lower body by bending arms back. If necessary, use minimal assistance of lower body to control descent, allowing knees to bend, keeping toes in contact with bench or elevation. When slight stretch is felt in chest or shoulders push body up until arms are straight. Repeat with minimal assistance from legs.
"
Biceps/CBAlternatingCurl,Cable Alternating Curl,Pull,"
;Biceps Brachii;
","
;Brachialis;
;Brachioradialis;
","
;Trapezius, Upper;
;Trapezius, Middle;
;Levator Scapulae;
;Wrist Flexors;
",,,"Preparation

Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.

Execution

Pull one stirrup up forward and upward toward shoulder while keeping elbow stationary. Return until arm is fully extended. Repeat on other arm, alternating between sides.

Comments

When elbow is fully flexed, it can travel forward slightly, allowing forearm to be no more than vertical. This additional movement allows for relative release of tension in muscles between repetitions. Pulleys should not be too far apart. Also see mechanical analysis of arm curl and question regarding elbow position.
"
