id,name,muscle,equipment,description,benefits,instructions,rating
wide-grip-rear-pull-up,Wide-Grip Rear Pull-Up,Lats,Body Only,,,"Grab the pull-up bar with the palms facing forward using a wide grip.
As you have both arms extended in front of you holding the bar, bring your torso forward and head so that there is an imaginary line from the pull-up bar to the back of your neck. This is your starting position.
Pull your torso up until the bar is near the back of your neck. To do this, draw the shoulders and upper arms down and back while slightly leaning your head forward. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar.
After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched.
Repeat this motion for the prescribed amount of repetitions.
If you are new at this exercise and do not have the strength to perform it, use a chin assist machine if available. These machines use weight to help you push your bodyweight.
Otherwise, a spotter holding your legs can help.",8.7
lunge-pass-through,Kettlebell pass-through lunge,Hamstrings,Kettlebells,"The kettlebell pass-through lunge is a dynamic leg and core exercise in which a lifter passes a weight under their front leg during lunges. It is a unique coordination challenge, but also challenging to the musculature of the abdomen, lower body, shoulders, and upper back. It is most commonly performed for higher reps, such as 10-15 reps per side, or for time. It can work in circuit-style workouts, or in lower-body or full-body time-efficient training.","Forces the core to stabilize while the limbs move
Trains strength in the legs, hamstrings, and glutes one side at a time
Significant cardiovascular challenge and calorie burn
Excellent full-body coordination exercise","Stand with your torso upright holding a kettlebell in your right hand. This will be your starting position.
Step forward with your left foot and lower your upper body down by flexing the hip and the knee, keeping the torso upright. Lower your back knee until it nearly touches the ground.
As you lunge, pass the kettlebell under your front leg to your opposite hand.
Pressing through the heel of your foot, return to the starting position.
Repeat the movement for the recommended amount of repetitions, alternating legs.",8.7
incline-push-up-medium,Hands-elevated push-up,Chest,Body Only,"The hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or as a mechanical dropset after maxing out on floor push-ups.","Builds size and strength in the triceps and chest muscles
Effective substitution for push-ups in any workout
Great for burn-out sets at the end of a chest or triceps workout","Stand facing a Smith machine bar or sturdy elevated platform at an appropriate height.
Place your hands on the bar, with your hands about shoulder width apart.
Position your feet back from the bar with arms and body straight. This will be your starting position.
Keeping your body straight, lower your chest to the bar by bending the arms.
Return to the starting position by extending the elbows, pressing yourself back up.",8.7
deadlift-with-bands,Deadlift with Bands,Lower Back,Barbell,,,"To deadlift with short bands, simply loop them over the bar before you start, and step into them to set up. For long bands, they will need to be anchored to a secure base, such as heavy dumbbells or a rack.
Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Ensure that the bands are under the back half of your foot (for short bands), directly where you are driving into the floor. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an overhand grip or an over/under grip on heavier sets.2.  With your feet, and your grip set, take a big breath and then lower your hips and bend the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
Lower the bar by bending at the hips and guiding it to the floor.",8.7
rope-straight-arm-pulldown,Straight-arm rope pull-down,Lats,Cable,"The straight-arm rope pull-down is a variation of the straight-arm lat pull-down performed using a cable stack machine and a rope grip. It can either be performed in an athletic upright stance, or slightly bent over. It both stretches and contracts the muscles of the lats (latissimus dorsi) as well as providing additional activation to the other upper back muscles and the core. Because the triceps are also isometrically involved in the movement, it is usually performed for higher reps, such as 8-15 reps or more.","Allows lifters to ""feel"" the lats working and focus on the lower and middle part of the muscles
Greater range of motion than the straight-arm bar pull-down
Effective alternative to pull-overs, especially for people with limited overhead shoulder mobility","Attach a rope to a high pulley and make your weight selection. Stand a couple feet back from the pulley with your feet staggered and take the rope with both hands. Lean forward from the hip, keeping your back straight, with your arms extended up in front of you. This will be your starting position.
Keeping your arms straight, extend the shoulder to pull the rope down to your thighs.
Pause at the bottom of the motion, squeezing your lats.
Return to the starting position without allowing the weight to fully rest on the stack.",8.7
barbell-shoulder-press,Barbell Shoulder Press,Shoulders,Barbell,"The seated barbell shoulder pressis a classic exercise for building muscle and strengthening the shoulders, particularly but not exclusively the front heads. The triceps also play a significant roles in pressing the barbell overhead.","Builds shoulder muscle and strength
Particularly good for the front heads of the shoulder
Triceps receive a good workout, too","Sit on a bench with back support in a squat rack. Position a barbell at a height that is just above your head. Grab the barbell with a pronated grip (palms facing forward).
Once you pick up the barbell with the correct grip width, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position.
Lower the bar down to the shoulders slowly as you inhale.
Lift the bar back up to the starting position as you exhale.
Repeat for the recommended amount of repetitions.
This exercise can also be performed standing.",8.7
power-clean,Power clean,Hamstrings,Barbell,"The power clean is a full-body movement in which the bar is pulled from the floor and caught in the front rack position in three pulls or phases. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power clean can be used as a component of the clean and press or clean and jerk, but is also a valuable lift to build explosive power and strength.","Trains speed and power for athletic performance
Great progressions for the full clean
Great for improving full-body strength and power","Stand with your feet slightly wider than shoulder width apart and toes pointing out slightly.
Squat down and grasp bar with a closed, pronated grip. Your hands should be slightly wider than shoulder width apart outside knees with elbows fully extended.
Place the bar about 1 inch in front of your shins and over the balls of your feet.
Your back should be flat or slightly arched, your chest held up and out and your shoulder blades should be retracted.
Keep your head in a neutral position (in line with vertebral column and not tilted or rotated) with your eyes focused straight ahead. Inhale during this phase.
Lift the bar from the floor by forcefully extending the hips and the knees as you exhale. Tip: The upper torso should maintain the same angle. Do not bend at the waist yet and do not let the hips rise before the shoulders (this would have the effect of pushing the glutes in the air and stretching the hamstrings.
Keep elbows fully extended with the head in a neutral position and the shoulders over the bar.
As the bar raises keep it as close to the shins as possible.
As the bar passes the knees, thrust your hips forward and slightly bend the knees to avoid locking them. Tip: At this point your thighs should be against the bar.
Keep the back flat or slightly arched, elbows fully extended and your head neutral. Tip: You will hold your breath until the next phase.
Inhale and then forcefully and quickly extend your hips and knees and stand on your toes.
Keep the bar as close to your body as possible. Tip: Your back should be flat with the elbows pointed out to the sides and your head in a neutral position. Also, keep your shoulders over the bar and arms straight as long as possible.
When your lower body joints are fully extended, shrug the shoulders upward rapidly without letting the elbows flex yet. Exhale during this portion of the movement.
As the shoulders reach their highest elevation flex your elbows to begin pulling your body under the bar.
Continue to pull the arms as high and as long as possible. Tip: Due to the explosive nature of this phase, your torso will be erect or with an arched back, your head will be tilted back slightly and your feet may lose contact with the floor.
After the lower body has fully extended and the bar reaches near maximal height, pull your body under the bar and rotate the arms around and under the bar.
Simultaneously, flex the hips and knees into a quarter squat position.
Once the arms are under the bar, inhale and then lift your elbows to position the upper arms parallel to the floor. Rack the bar across the front of your collar bones and front shoulder muscles.
Catch the bar with an erect and tight torso, a neutral head position and flat feet. Exhale during this movement.
Stand up by extending the hips and knees to a fully erect position.
Lower the bar by gradually reducing the muscular tension of the arms to allow a controlled descent of the bar to the thighs. Inhale during this movement.
Simultaneously flex the hips and knees to cushion the impact of the bar on the thighs.
Squat down with the elbows fully extended until the bar touches the floor.
Start over at Phase 1 and repeat for the recommended amount of repetitions.",8.7
hang-snatch,Hang Snatch,Hamstrings,Barbell,,,"Begin with a wide grip on the bar, with an overhand or hook grip. The feet should be directly below the hips with the feet turned out. Your knees should be slightly bent, and the torso inclined forward. The spine should be fully extended and the head facing forward. The bar should be at the hips. This will be your starting position.
Aggressively extend through the legs and hips. At peak extension, shrug the shoulders and allow the elbows to flex to the side.
As you move your feet into the receiving position, forcefully pull yourself below the bar as you elevate the bar overhead. Receive the bar with your body as low as possible and the arms fully extended overhead.
Return to a standing position with the weight overhead. Follow by returning the weight to the ground under control.",8.7
kettlebell-sumo-high-pull,Kettlebell sumo deadlift high pull,Traps,Kettlebells,"The kettlebell sumo deadlift high pull is a dynamic kettlebell exercise that focuses on the muscles of the posterior chain, including the hamstrings, glutes, traps, rear delts, and upper back. It can be done in lower reps for power or strength, or higher reps for conditioning and fat loss. It can also be a component of a circuit-style kettlebell workout, either for time or reps.","Explosively trains the hips, hamstrings, and glutes
Strengthens the muscles of the traps (trapezius), upper back, and shoulders
Works effectively with light or heavy weights
May be a safer deadlift variation to do for high reps than with a barbell","Place a kettlebell on the ground between your feet. Position your feet in a wide stance, and grasp the kettlebell with two hands. Set your hips back as far as possible, with your knees bent. Keep your chest and head up. This will be your starting position.
Begin by extending the hips and knees, simultaneously pulling the kettlebell to your shoulders, raising your elbows as you do so. Reverse the motion to return to the starting position.",8.7
calf-machine-shoulder-shrug,Calf-Machine Shoulder Shrug,Traps,Machine,,,"Position yourself on the calf machine so that the shoulder pads are above your shoulders. Your torso should be straight with the arms extended normally by your side. This will be your starting position.
Raise your shoulders up towards your ears as you exhale and hold the contraction for a full second.
Slowly return to the starting position as you inhale.
Repeat for the recommended amount of repetitions.",8.7
bench-press-powerlifting,Bench Press - Powerlifting,Triceps,Barbell,,,"Begin by lying on the bench, getting your head beyond the bar if possible. Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement.
However wide your grip, it should cover the ring on the bar. Pull the bar out of the rack without protracting your shoulders. Focus on squeezing the bar and trying to pull it apart.
Lower the bar to your lower chest or upper stomach. The bar, wrist, and elbow should stay in line at all times.
Pause when the barbell touches your torso, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.",8.7
rocking-standing-calf-raise,Rocking Standing Calf Raise,Calves,Barbell,,,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place it on the back of your shoulders (slightly below the neck).
Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.
Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance. Also maintain a straight back and keep the knees with a slight bend; never locked. This will be your starting position.
Raise your heels as you breathe out by extending your ankles as high as possible and flexing your calf. Ensure that the knee is kept stationary at all times. There should be no bending (other than the slight initial bend we created during positioning) at any time. Hold the contracted position by a second before you start to go back down.
Go back slowly to the starting position as you breathe in by lowering your heels as you bend the ankles until calves are stretched.
Now lift your toes by contracting the tibia muscles in the front of the calves as you breathe out.
Hold for a second and bring them back down as you breathe in.
Repeat for the recommended amount of repetitions.",8.7
goblet-squat,Goblet Squat,Quadriceps,Kettlebells,"The goblet squat is a popular lower-body exercise where you hold a kettlebell or dumbbell in front of your chest as if you are supporting a heavy cup or goblet. It can help lifters of all levels improve their squat technique and hip mobility, but can also work as a muscle-building or strength accessory movement for experienced athletes. It also works well in combinations, complexes, and flows with other kettlebell movements like swings, presses, and cleans.","Excellent drill to learn and master proper squat form
Works the legs dynamically and the upper back, core, and shoulders isometrically
Easier to squat deeply with good form than barbell squats
Scalable for beginners, but can also works with heavy weights for more advanced lifters","Stand holding a light kettlebell by the horns close to your chest. This will be your starting position.
Squat down between your legs until your hamstrings are on your calves. Keep your chest and head up and your back straight.
At the bottom position, pause and use your elbows to push your knees out. Return to the starting position, and repeat for 10-20 repetitions.",8.7
lying-close-grip-barbell-triceps-extension-behind-the-head,Behind-the-head skullcrusher,Triceps,Barbell,"The behind-the-head skullcrusher is a variation on a triceps exercise that has been a staple of bodybuilders for decades. In this version, instead of the bar coming down lightly to the forehead, the bar tracks over the top of the head without touching it. Skullcrushers are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout. If a straight bar is uncomfortable for your wrists or elbows, try using an angled EZ-bar.","Builds muscle and strength in all three heads of the triceps
Targets the long head specifically","While holding a barbell or EZ Curl bar with a pronated grip (palms facing forward), lie on your back on a flat bench with your head close to the end of the bench. Tip: If you are holding a barbell grab it using a shoulder-width grip and if you are using an E-Z Bar grab it on the inner handles.
Extend your arms in front of you and slowly bring the bar back in a semi circular motion (while keeping the arms extended) to a position over your head. At the end of this step your arms should be overhead and perpendicular to the floor. This will be your starting position. Tip: Keep your elbows in at all times.
As you inhale, lower the bar by bending at the elbows and while keeping the upper arm stationary. Keep lowering the bar until your forearms are perpendicular to the floor.
As you exhale bring the bar back up to the starting position by pushing the bar up in a semi-circular motion until the lower arms are also parallel to the floor. Contract the triceps hard at the top of the movement for a second. Tip: Again, only the forearms should move. The upper arms should remain stationary at all times.
Repeat for the recommended amount of repetitions.",8.7
seated-palm-up-barbell-wrist-curl,Seated palms-up wrist curl,Forearms,Barbell,"The seated palms-up wrist curl is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.","Builds size and strength in the forearms
Builds strength and flexibility in the wrists
Develops grip strength that carries over to strength in other movements
Trains wrist flexion","Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width.
Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart.
Lean forward and place your forearms on top of your upper thighs with your palms up. Tip: Make sure that the front of the wrists lay on top of your knees. This will be your starting position.
Lower the bar as far as possible while inhaling and keeping a tight grip.
Now curl bar up as high as possible while flexing the forearms and exhaling. Hold the contraction at the top for a second and Tip: Only the wrist should move.",8.7
reverse-cable-curl,Reverse Cable Curl,Biceps,Cable,,,"Stand up with your torso upright while holding a bar attachment that is attached to a low pulley using a pronated (palms down) and shoulder width grip. Make sure also that you keep the elbows close to the torso. This will be your starting position.
While holding the upper arms stationary, curl the weights while contracting the biceps as you breathe out. Only the forearms should move. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second as you squeeze the muscle.
Slowly begin to bring the bar back to starting position as your breathe in.
Repeat for the recommended amount of repetitions.",8.7
dumbbell-side-bend,Dumbbell side bend,Abdominals,Dumbbell,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.","Strong obliques help maintain proper posture while protecting the spine
Aesthetically adds sweep and V-taper shape to the sides of the waist
Builds size and definition in obliques","Stand up straight while holding a dumbbell on the left hand (palms facing the torso) as you have the right hand holding your waist. Your feet should be placed at shoulder width. This will be your starting position.
While keeping your back straight and your head up, bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary.
Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position.
Repeat for the recommended amount of repetitions and then change hands.",8.6
wide-grip-lat-pulldown,Lat pull-down,Lats,Cable,"The lat pull-down is a cable-based exercise that's ubiquitous in gyms around the world. This back builder is easy to learn and highly effective at building back size and strength. It's usually trained in moderate to high reps, such as 8-12 reps per set. If grip strength is a limitation, you can wear wrist straps.","Targets the latissimus dorsi muscles
Cables provide constant tension on the muscles
Easy to add variations in grip width, style, or torso angle for variety","Sit down on a pull-down machine with a wide bar attached to the top pulley. Make sure that you adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar.
Grab the bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width.
As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.
As you breathe out, bring the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary and only the arms should move. The forearms should do no other work except for holding the bar; therefore do not try to pull down the bar using the forearms.
After a second at the contracted position squeezing your shoulder blades together, slowly raise the bar back to the starting position when your arms are fully extended and the lats are fully stretched. Inhale during this portion of the movement.
Repeat this motion for the prescribed amount of repetitions.",8.6
side-lateral-raise,Side Lateral Raise,Shoulders,Dumbbell,"The dumbbell lateral raise is an upper body isolation exercise for building shoulder strength and muscle. It's a staple strength training move and is a great option for accessory work on upper body training days. This exercise particularly focuses on the lateral or medial head of the deltoid, making them appear wider and more developed.","Builds shoulder strength and size, even with light weights
Makes shoulders appear wider and rounder
Can be done standing or seated","Pick a couple of dumbbells and stand with a straight torso and the dumbbells by your side at arms length with the palms of the hand facing you. This will be your starting position.
While maintaining the torso in a stationary position (no swinging), lift the dumbbells to your side with a slight bend on the elbow and the hands slightly tilted forward as if pouring water in a glass. Continue to go up until you arms are parallel to the floor. Exhale as you execute this movement and pause for a second at the top.
Lower the dumbbells back down slowly to the starting position as you inhale.
Repeat for the recommended amount of repetitions.",8.6
incline-dumbbell-curl,Alternating incline dumbbell biceps curl,Biceps,Dumbbell,"The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training.","Greater time under tension than double curls
Adds size and definition to the biceps
Positioning on the incline bench helps isolate the biceps and enforce strict form
Great burnout movement on arm day","Sit back on an incline bench with a dumbbell in each hand held at arms length. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position.
While holding the upper arm stationary, curl the weights forward while contracting the biceps as you breathe out. Only the forearms should move. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second.
Slowly begin to bring the dumbbells back to starting position as your breathe in.
Repeat for the recommended amount of repetitions.",8.6
kettlebell-one-legged-deadlift,Kettlebell One-Legged Deadlift,Hamstrings,Kettlebells,"The kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. It's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles.","Targets each glute individually to strengthen both sides equally
Builds back and glute strength and size, as well as grip strength
Teaches and enforces the hip hinge movement pattern for deadlifts
If balance is a challenge, the movement is still effective if you hold on to a post or other stable object","Hold a kettlebell by the handle in one hand. Stand on one leg, on the same side that you hold the kettlebell.
Keeping that knee slightly bent, perform a stiff legged deadlift by bending at the hip, extending your free leg behind you for balance.
Continue lowering the kettlebell until you are parallel to the ground, and then return to the upright position.",8.6
alternate-hammer-curl,Alternate Hammer Curl,Biceps,Dumbbell,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.","Works not only the biceps but also the brachialis and brachioradialis
Less stress on the wrists compared with supinating curls
Can lift more weight without having to supinate","Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso.
The palms of the hands should be facing your torso. This will be your starting position.
While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move.
Slowly begin to bring the dumbbells back to starting position as your breathe in.
Repeat the movement with the left hand. This equals one repetition.
Continue alternating in this manner for the recommended amount of repetitions.",8.6
decline-push-up,Decline Push-Up,Chest,Body Only,"The feet-elevated push-up is a variation on the push-up, a body-weight standard. The feet are elevated, so that your body is aligned at an angle to the floor rather than parallel.","Works the upper chest and front shoulders more than the regular push-up
Harder and arguably more effective than the regular push-up
You can make it harder still by progressively elevating your feet higher over time","Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length. Move your feet up to a box or bench. This will be your starting position.
Next, lower yourself downward until your chest almost touches the floor as you inhale.
Now breathe out and press your upper body back up to the starting position while squeezing your chest.
After a brief pause at the top contracted position, you can begin to lower yourself downward again for as many repetitions as needed.",8.6
kneehip-raise-on-parallel-bars,Captain's chair knee raise,Abdominals,Other,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.","Strengthens the abs and hip flexors
Emphasizes the lower part of the rectus abdominis or ""six-pack"" muscles
Difficulty can be increased by holding a dumbbell between the ankles","Position your body on the vertical leg raise bench so that your forearms are resting on the pads next to the torso and holding on to the handles. Your arms will be bent at a 90 degree angle.
The torso should be straight with the lower back pressed against the pad of the machine and the legs extended pointing towards the floor. This will be your starting position.
Now as you breathe out, lift your legs up as you keep them extended. Continue this movement until your legs are roughly parallel to the floor and then hold the contraction for a second. Tip: Do not use any momentum or swinging as you perform this exercise.
Slowly go back to the starting position as you breathe in.
Repeat for the recommended amount of repetitions.",8.6
triceps-pushdown,Triceps Pushdown,Triceps,Cable,"The cable V-bar push-down is a popular gym exercise for targeting the triceps. It utilizes an angled bar, which can allow you to move heavier weights more comfortably than a straight bar or rope. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an upper-body or arm-focused workout.","High level of triceps activation and pump, particularly in the lateral head
The angled handle may activate triceps to a greater degree than a straight bar
Allows you to move heavier weight than the rope push-down","Attach a straight or angled bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width.
Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the bar. This is your starting position.
Using the triceps, bring the bar down until it touches the front of your thighs and the arms are fully extended perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement.
After a second hold at the contracted position, bring the bar slowly up to the starting point. Breathe in as you perform this step.
Repeat for the recommended amount of repetitions.",8.6
triceps-overhead-extension-with-rope,Low cable overhead triceps extension,Triceps,Cable,"The low cable overhead triceps extension is a single-joint isolation exercise for building the triceps. It involves lying on a bench and then driving the rope handle to full extension. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.","Builds stronger and more muscular triceps
Targets the long head of the triceps specifically
The cable provides continuous tension throughout each rep","Attach a rope to a low pulley. After selecting an appropriate weight, grasp the rope with both hands and face away from the cable.
Position your hands behind your head with your elbows point straight up. Your elbows should start out flexed, and you can stagger your stance and lean gently away from the machine to create greater stability. This will be your starting position.
To perform the movement, extend through the elbow while keeping the upper arm in position, raising your hands above your head.
Squeeze your triceps at the top of the movement, and slowly lower the weight back to the start position.",8.6
single-arm-cable-crossover,Single-arm cable cross-over,Chest,Cable,"The single-arm cable cross-over is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles. Working the chest one side at a time allows you to focus on the balance between the sides of your chest and really feel the chest muscles contracting. It is common in upper-body and chest-focused muscle-building workouts, often in combination with other presses or flyes to target the chest from different angles.","Unlike dumbbells, cables provide constant tension, including at peak contraction
Can quickly switch weights for dropsets
Stretches the chest muscles under load which can lead to greater muscle gain","Begin by moving the pulleys to the high position, select the resistance to be used, and take a handle in each hand.
Step forward in front of both pulleys with your arms extended in front of you, bringing your hands together. Your head and chest should be up as you lean forward, while your feet should be staggered. This will be your starting position.
Keeping your left arm in place, allow your right arm to extend out to the side, maintaining a slight bend at the elbow. The right arm should be perpendicular to the body at approximately shoulder level.
Return your arm back to the starting position by pulling your hand back to the midline of the body.
Hold for a second at the starting position and repeat the movement on the opposite side. Continue alternating back and forth for the prescribed number of repetitions.",8.6
seated-dumbbell-curl,Seated dumbbell biceps curl,Biceps,Dumbbell,"The seated dumbbell biceps curl is a popular exercise for building bigger biceps. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.","Builds bigger, stronger biceps
Great for building the biceps peak
Eliminates lower-body momentum and enforces strict form","Sit on a flat bench with a dumbbell on each hand being held at arms length. The elbows should be close to the torso.
Rotate the palms of the hands so that they are facing your torso. This will be your starting position.
While holding the upper arm stationary, curl the weights and start twisting the wrists once the dumbbells pass your thighs so that the palms of your hands face forward at the end of the movement. Make sure that you contract the biceps as you breathe out and make sure that only the forearms move. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps.
Slowly begin to bring the dumbbells back to the starting position as your breathe in and as you rotate the wrists back to a neutral grip.
Repeat for the recommended amount of repetitions.
There are many possible variations for this movement. For instance, you can perform the exercise sitting down on a bench with or without back support and you can also perform it by alternating arms; first lift the right arm for one repetition, then the left, then the right, etc.",8.6
battling-ropes,Battle ropes,Shoulders,Other,"Battle ropes are an explosive training tool that involves moving the rope in waves with the other end of the rope anchored at ground level. There are many different types of waves, but the most common is alternating waves with the left and right hands. The battle ropes can be performed for short bursts as power training, for longer durations as cardiovascular training, or as a component of a conditioning or fat-loss circuit.","Intense power training and cardiovascular and grip challenge
Because there is no eccentric component to the movement, it results in very little muscle soreness
Serious ""pump"" to the shoulders and upper back
There are many different variations such as alternating waves, identical waves, circles, power slams, and lateral waves","For this exercise you will need a heavy rope anchored at its center 15-20 feet away. Standing in front of the rope, take an end in each hand with your arms extended at your side. This will be your starting position.
Initiate the movement by rapidly raising one arm to shoulder level as quickly as you can.
As you let that arm drop to the starting position, raise the opposite side.
Continue alternating your left and right arms, whipping the ropes up and down as fast as you can.",8.6
dead-bug,Dead bug reach,Abdominals,Body Only,"The dead bug reach is an exercise for strengthening the core in which you alternate lowering your opposing arm and leg simultaneously, controlling the movement with the abdominal muscles. It can be part of a dynamic warm-up to activate the core for other athletics or lifting, or be performed in a circuit or on its own in the ab-focused portion of any workout.","Strengthens the rectus abdominis, obliques, and deep core or transversus abdominis
Teaches core to brace while arms and legs are moving
Effective core activation work before training or anytime","Begin lying on your back with your hands extended above you toward the ceiling.
Bring your feet, knees, and hips up to 90 degrees.
Exhale hard to bring your ribcage down and flatten your back onto the floor, rotating your pelvis up and squeezing your glutes. Hold this position throughout the movement. This will be your starting position.
Initiate the exercise by extending one leg, straightening the knee and hip to bring the leg just above the ground.
Maintain the position of your lumbar and pelvis as you perform the movement, as your back is going to want to arch.
Stay tight and return the working leg to the starting position.
Repeat on the opposite side, alternating until the set is complete.",8.6
deadlift-with-chains,Deadlift with Chains,Lower Back,Barbell,,,"You can attach the chains to the sleeves of the bar, or just drape the middle over the bar so there is a greater weight increase as you lift.
Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an overhand grip or an over/under grip on heavier sets. With your feet, and your grip set, take a big breath and then lower your hips and bend the knees until your shins contact the bar.
Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
Lower the bar by bending at the hips and guiding it to the floor.",8.6
rope-crunch,Rope Crunch,Abdominals,Cable,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.","Great way to load abs with weight that can be tracked and increased over time
Greater range of motion than a traditional sit-up or crunch
Weighted ab training can increase core definition in addition to strength","Kneel 1-2 feet in front of a cable system with a rope attached.
After selecting an appropriate weight, grasp the rope with both hands reaching overhead. Your torso should be upright in the starting position.
To begin, flex at the spine, attempting to bring your rib cage to your legs as you pull the cable down.
Pause at the bottom of the motion, and then slowly return to the starting position.
These can be done with twists or to the side to hit the obliques.",8.6
